file	#_reads_raw	#_reads_fp1	#_reads_clmp	#_reads_fp2	#_reads_fqscrn	#_reads_repr	%_readsRemaining_fp1	%_readsRemaining_clmp	%_readsRemaining_fp2	%_readsRemaining_fqscrn	%_readsRemaining_repr	%_total_readsRemaining
/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/sphaeramia_nematoptera/fq_raw_shotgun/Sne-CTaw_051_Ex1-3F_L3_1.fq.gz	196174062	192178845	148339220	115104578	108744745	105296198	97.9634	77.1881	77.5955	94.4747	96.8288	53.6749
/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/sphaeramia_nematoptera/fq_raw_shotgun/Sne-CTaw_051_Ex1-3F_L3_2.fq.gz	196174062	192178845	148339220	115104578	108774564	105296198	97.9634	77.1881	77.5955	94.5006	96.8022	53.6749
/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/sphaeramia_nematoptera/fq_raw_shotgun/Sne-CTaw_051_Ex1-3G_L3_1.fq.gz	229183420	224822145	173667004	131927553	124704290	121079112	98.097	77.2464	75.9658	94.5248	97.093	52.8307
/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/sphaeramia_nematoptera/fq_raw_shotgun/Sne-CTaw_051_Ex1-3G_L3_2.fq.gz	229183420	224822145	173667004	131927553	124761474	121079112	98.097	77.2464	75.9658	94.5682	97.0485	52.8307
/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/sphaeramia_nematoptera/fq_raw_shotgun/Sne-CTaw_051_Ex13H_L3_1.fq.gz	190217239	186185181	143040464	110771497	104807206	101571554	97.8803	76.827	77.4407	94.6157	96.9128	53.3977
/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/sphaeramia_nematoptera/fq_raw_shotgun/Sne-CTaw_051_Ex13H_L3_2.fq.gz	190217239	186185181	143040464	110771497	104850303	101571554	97.8803	76.827	77.4407	94.6546	96.8729	53.3977
