Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
Hte-CJol_087-Ex1-2H-SSL-1-1-L4-clmp.fp2_repr.R1										1.3120882987746365	0.14296780724267794	1.1637700957718873	1.0877679041996846	0.43116090017735503	0.0	0.0																																																															
Hte-CJol_087-Ex1-2H-SSL-1-1-L4-clmp.fp2_repr.R2										2.3822896060011156	0.36145965129301105	2.1326169057213558	1.336216332783668	0.39528799253933544	0.0	0.0																																																															
Hte-CJol_087-Ex1-2H-SSL-1-1-L5-clmp.fp2_repr.R1										1.24740290845745	0.16644969361747305	1.1337491945259712	1.1362093203121915	0.4165073023700058	0.0	0.0																																																															
Hte-CJol_087-Ex1-2H-SSL-1-1-L5-clmp.fp2_repr.R2										2.3990899405850863	0.3373152141357314	1.9931268698306086	1.3400298241037314	0.41933872666934013	0.0	0.0																																																															
Hte-CMvi_008-Ex1-3H-SSL-1-1-L4-clmp.fp2_repr.R1										0.4819241197473755	0.2144831192577938	0.5308171133271559	0.05786626106217694	0.0	0.0	0.0																																																															
Hte-CMvi_008-Ex1-3H-SSL-1-1-L4-clmp.fp2_repr.R2										0.6380391416834278	0.27826271901815186	0.41971098697310366	0.07529446992457875	0.0	0.0	0.0																																																															
Hte-CMvi_008-Ex1-3H-SSL-1-1-L5-clmp.fp2_repr.R1										0.4525696900603695	0.21178802846728317	0.49986543181017845	0.03461441734455578	0.0	0.0	0.0																																																															
Hte-CMvi_008-Ex1-3H-SSL-1-1-L5-clmp.fp2_repr.R2										0.5979393016061977	0.260448703287288	0.4898020838073419	0.05683841205855912	0.0	0.0	0.0																																																															
