File	Read Length	Frequency
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	100	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	101	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	102	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	103	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	104	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	105	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	106	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	107	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	108	6
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	109	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	111	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	112	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	113	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	115	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	116	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	117	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	118	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	119	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	120	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	122	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	123	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	124	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	125	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	126	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	128	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	129	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	130	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	131	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	132	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	133	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	134	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	135	5
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	136	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	137	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	138	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	139	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	140	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	141	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	142	3
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	143	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	144	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	145	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	146	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	147	4
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	148	8
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	149	31
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r1.fq.gz	150	651
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r2.fq.gz	33	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r2.fq.gz	34	1
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r2.fq.gz	35	2
fq_fp1/Hte-CJol_087-Ex1-2H-SSL-1-1-L4-r2.fq.gz	36	1
