Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Hte-CJol_087-Ex1-2H-SSL-1-1-L4-1	46.08185952714635	50.0	150.0	18.181818181818183	34818280.0
Hte-CJol_087-Ex1-2H-SSL-1-1-L4-2	45.15306760647586	53.0	150.0	27.27272727272727	34818280.0
Hte-CJol_087-Ex1-2H-SSL-1-1-L5-1	47.014667312027925	50.0	150.0	18.181818181818183	34741901.0
Hte-CJol_087-Ex1-2H-SSL-1-1-L5-2	46.31315099753722	53.0	150.0	27.27272727272727	34741901.0
Hte-CMvi_008-Ex1-3H-SSL-1-1-L4-1	18.02738161020872	44.0	150.0	9.090909090909092	3549237.0
Hte-CMvi_008-Ex1-3H-SSL-1-1-L4-2	18.15597551167987	45.0	150.0	18.181818181818183	3549237.0
Hte-CMvi_008-Ex1-3H-SSL-1-1-L5-1	18.6589779526727	44.0	150.0	9.090909090909092	3542143.0
Hte-CMvi_008-Ex1-3H-SSL-1-1-L5-2	18.83937104669826	45.0	150.0	18.181818181818183	3542143.0
